neighborhood|city|type|year|pricePerSqm|price|size|address
Niirala|Kuopio|K|2019|4505|205000|45.5|Sairaalakatu 8 A
Keskusta|Kuopio|K|1977|2130|229000|107.5|Myhkyrinkatu 5 A
Niirala|Kuopio|K|1969|1047|89000|85|Valkeisenkatu 6
Keskusta / Satama|Kuopio|K|1995|3967|359000|90.5|Kauppakatu 5
Neulamäki|Kuopio|K|1986|1339|73000|54.5|Kantotie 3
Männistö|Kuopio|K|1968|1845|95000|51.5|Kalevalankatu 9
Lippumäki / Litmanen|Kuopio|O|0|1495|320000|214|Mäkipirtinkatu 19
Vehmersalmi|Kuopio|R|1968|685|49000|71.5|Vehmersalmenkatu 29
Männistö|Kuopio|K|1971|1984|121000|61|Männistönkatu 16
Keskusta|Kuopio|K|1960|2495|136000|54.5|Raviradantie 1
Haapaniemi|Kuopio|K|2027|4240|209900|49.5|Haapaniementie 16 A3
Haapaniemi|Kuopio|K|2027|3955|274900|69.5|Haapaniementie 16 A17
Haapaniemi|Kuopio|K|2027|4332|259900|60|Haapaniementie 16 A14
Litmanen|Kuopio|K|1992|194|8750|45|Tikaskatu 1
Julkula|Kuopio|K|1993|258|21963|85|Puijonsarventie 65
Kurkimäki|Kuopio|O|1999|1664|228000|137|Tiiholantie 1
Juankoski|Kuopio|O|1972|568|79000|139|Puutarhatie 14
Saarijärvi|Kuopio|K|1973|786|68000|86.5|Saarijärventie 17 B
Pihlajalaakso|Kuopio|R|2015|2681|189000|70.5|Poukamankatu 2 A
Pihlajalaakso|Kuopio|R|2015|2681|189000|70.5|Poukamankatu 2 A
Keskusta|Kuopio|K|1970|1323|153500|116|Kirkkokatu 57
Keskusta|Kuopio|K|1998|4113|329000|80|Sepänkatu 11
Haapaniemi|Kuopio|K|1987|3091|102000|33|Haapaniementie 14 E
Lehtoniemi|Kuopio|R|2023|448|38340|85.5|Kuikkakuja 3 B 06
Päiväranta|Kuopio|R|1980|1895|198000|104.5|Visakuja 5
Linnanpelto|Kuopio|K|1960|2282|89000|39|Pohjolankatu 30 A
Jynkkä|Kuopio|O|1956|1316|125000|95|Yötarhantie 7
Vartiala|Kuopio|O|2000|1493|224000|150|Leppäniementie 16
Mukkula|Lahti|K|2012|449|16629|37|Huvikatu 10
Uusikylä|Lahti|K|1970|179|5000|28|Puutarhatie 20 A
Laune|Lahti|K|2013|2347|115000|49|Launeenkatu 76
Asemantausta|Lahti|K|0|3675|215000|58.5|Vahva-Jussin lenkki 21 A
Kartano|Lahti|K|1999|340|25478|75|Vesijärvenkatu 55
Hennala|Lahti|K|2008|2704|169000|62.5|Rykmentinkatu 4
Asemantausta|Lahti|K|2024|615|34108|55.5|Vahva-Jussin lenkki 11
Kytölä|Lahti|O|0|3597|259000|72|Sorsastenkatu 1
Asemantausta|Lahti|K|2018|504|26726|53|Uudenpellonkatu 10
Asemantausta|Lahti|K|2018|501|26296|52.5|Uudenpellonkatu 10
Asemantausta|Lahti|K|2018|528|21395|40.5|Uudenpellonkatu 8
Asemantausta|Lahti|K|2017|488|25848|53|Uudenpellonkatu 2
Asemantausta|Lahti|K|2017|468|35106|75|Uudenpellonkatu 2
Asemantausta|Lahti|K|2017|522|20860|40|Uudenpellonkatu 2
Asemantausta|Lahti|K|2017|472|31142|66|Uudenpellonkatu 2
Keski-Lahti|Lahti|K|2018|4200|126000|30|Hämeenkatu 12 E
Asemantausta|Lahti|K|2017|518|27469|53|Kaarikatu 31
Keski-Lahti|Lahti|K|2018|3674|169000|46|Hämeenkatu 12 E
Keijupuisto|Lahti|K|2007|2566|195000|76|Keijutie 11 A
Keskusta|Lahti|K|1948|1987|149000|75|Saimaankatu 7
Karisto|Lahti|R|2012|420|31514|75|Ylähanganpolku 1
Ankkuri|Lahti|K|1998|350|20302|58|Taapelikatu 6
Keijupuisto|Lahti|K|2012|2626|130000|49.5|Keijutie 15
Liipola|Lahti|K|1975|678|39000|57.5|Itäkatu 2 B
Okeroinen|Lahti|O|0|752|85000|113|Leevinkatu 12
Pyhätön|Lahti|K|1962|1587|119000|75|Vesitorninkatu 20 A
Möysä|Lahti|K|2020|4667|399000|85.5|Sammuttajankatu 5
Keskusta|Lahti|K|1946|1654|129000|78|Rautatienkatu 6 A
Sipura|Lahti|K|1992|977|42000|43|Sipurantie 6 E
Kivimaa|Lahti|K|2016|2437|145000|59.5|Vuoripojankatu 13
Nastola|Lahti|R|2016|2398|229000|95.5|Sukeltajantie 8 as
Kärpänen|Lahti|K|1978|1157|59000|51|Satulakatu 6
Metsämaa, Kytölä|Lahti|O|1965|905|95000|105|Makarantie 14
Metsäkangas|Lahti|K|1980|701|54000|77|Suitsikatu 4 E
Kivistönmäki|Lahti|K|1982|2582|275000|106.5|Kivakatu 4 A
Kiveriö|Lahti|K|1962|1208|58000|48|Hirsimetsäntie 65 B
Keskusta|Lahti|K|1997|2453|195000|79.5|Kulmakatu 12 A
Jalkaranta|Lahti|R|1983|2542|305000|120|Pallaskatu 1 A
Kartano|Lahti|K|1941|1375|102000|74.2|Kariniemenkatu 24 B
Kivimaa|Lahti|K|2019|3418|135000|39.5|Vuoripojankatu 17
Möysän kaupunginosa|Lahti|K|1922|3824|195000|51|Sammuttajankatu 7
Möysä|Lahti|K|1922|3893|109000|28|Sammuttajankatu 7
Kivimaa|Lahti|K|2019|3310|96000|29|Vuoripojankatu 17
Lahti|Lahti|R|1988|1415|92000|65|Hollolantie 4 as
Metsäkangas|Lahti|O|1978|1400|189000|135|Mailakatu 3
Kärpänen|Lahti|O|1951|2275|248000|109|Palokunnantie 29
Möysä|Lahti|O|1964|2345|265000|113|Tenavankatu 25
Keski-Lahti|Lahti|K|1963|2350|126900|54|Yrjönkatu 9 B
Herrasmanni|Lahti|R|2008|2223|209000|94|Ryylintie 2 as
